# Supertokens for Korean (4299 total, sorted by frequency)

하는 게 (2 atoms, 6 occurrences)
하지 말라고 (2 atoms, 6 occurrences)
그는 나에게 (2 atoms, 6 occurrences)
뭐 하니 (2 atoms, 6 occurrences)
왜 이제 (2 atoms, 6 occurrences)
저 여자는 (2 atoms, 6 occurrences)
게 어때 (2 atoms, 6 occurrences)
이 여자 (2 atoms, 6 occurrences)
누가 더 (2 atoms, 6 occurrences)
오고 있어 (2 atoms, 6 occurrences)
간 적 (2 atoms, 6 occurrences)
가야 해 (2 atoms, 6 occurrences)
빨리 안 (2 atoms, 6 occurrences)
어디 있는 거야 (3 atoms, 6 occurrences)
내 돈 (2 atoms, 6 occurrences)
수 없어요 (2 atoms, 6 occurrences)
쓰레기 같은 (2 atoms, 6 occurrences)
안 되지 (2 atoms, 6 occurrences)
온 거야 (2 atoms, 6 occurrences)
몇 개나 (2 atoms, 6 occurrences)
수 있었어 (2 atoms, 6 occurrences)
뭐라고 했어 (2 atoms, 6 occurrences)
뭐 하려고 (2 atoms, 6 occurrences)
몇 시 (2 atoms, 6 occurrences)
저 사람이 (2 atoms, 6 occurrences)
줄 알고 (2 atoms, 6 occurrences)
말해 봐 (2 atoms, 6 occurrences)
어릴 때 (2 atoms, 6 occurrences)
걸 알아 (2 atoms, 6 occurrences)
다 죽일 (2 atoms, 6 occurrences)
이 문장은 (2 atoms, 6 occurrences)
이리 줘 (2 atoms, 6 occurrences)
모든 사람은 (2 atoms, 6 occurrences)
가장 큰 (2 atoms, 6 occurrences)
난이 (3 atoms, 6 occurrences)
수 있게 (2 atoms, 6 occurrences)
왜 그리 (2 atoms, 6 occurrences)
지난 주말에 (2 atoms, 6 occurrences)
법을 배우고 (2 atoms, 6 occurrences)
여긴 내 (2 atoms, 6 occurrences)
아는 거 (2 atoms, 6 occurrences)
어디 간 (2 atoms, 6 occurrences)
이러지 마 (2 atoms, 6 occurrences)
거 아니었어 (2 atoms, 6 occurrences)
좀 어때요 (2 atoms, 6 occurrences)
망할 자식 (2 atoms, 6 occurrences)
움직이지 마 (2 atoms, 6 occurrences)
어떻게 지냈어 (2 atoms, 6 occurrences)
그 얘기 (2 atoms, 6 occurrences)
그럼 누가 (2 atoms, 6 occurrences)
죽을 거야 (2 atoms, 6 occurrences)
알고 있는 (2 atoms, 6 occurrences)
너 때문에 (2 atoms, 6 occurrences)
단 한 (2 atoms, 6 occurrences)
잘 모르겠어 (2 atoms, 6 occurrences)
불 좀 (2 atoms, 6 occurrences)
적이 없어 (2 atoms, 6 occurrences)
손 떼 (2 atoms, 6 occurrences)
적이 있나 (2 atoms, 6 occurrences)
무슨 상관이야 (2 atoms, 6 occurrences)
어떻게 해 (2 atoms, 6 occurrences)
왜 울고 (2 atoms, 6 occurrences)
나 지금 (2 atoms, 6 occurrences)
그냥 둬 (2 atoms, 6 occurrences)
왜 울어 (2 atoms, 6 occurrences)
탈 수 (2 atoms, 6 occurrences)
어디서 온 (2 atoms, 6 occurrences)
그건 그렇고 (2 atoms, 6 occurrences)
살고 있어 (2 atoms, 6 occurrences)
문을 (2 atoms, 6 occurrences)
받을 수 (2 atoms, 6 occurrences)
어서 가자 (2 atoms, 6 occurrences)
이 정도면 (2 atoms, 6 occurrences)
좀 줄까 (2 atoms, 6 occurrences)
해도 돼요 (2 atoms, 6 occurrences)
정말 멋진 (2 atoms, 6 occurrences)
이 멍청아 (2 atoms, 6 occurrences)
나는 그녀를 (2 atoms, 6 occurrences)
그런 건 (2 atoms, 6 occurrences)
하는 거죠 (2 atoms, 6 occurrences)
수 있다면 (2 atoms, 6 occurrences)
어떻게 이런 (2 atoms, 6 occurrences)
말 안 들려 (3 atoms, 6 occurrences)
살 거야 (2 atoms, 6 occurrences)
안나 (3 atoms, 6 occurrences)
보고 있어 (2 atoms, 6 occurrences)
왜 그런 말을 (3 atoms, 6 occurrences)
말도 안 돼 (3 atoms, 6 occurrences)
러닝 맨 (2 atoms, 6 occurrences)
어쩔 수 (2 atoms, 6 occurrences)
내가 지금 (2 atoms, 6 occurrences)
내가 모를 (2 atoms, 6 occurrences)
괜찮은 거야 (2 atoms, 6 occurrences)
이거 놔 (2 atoms, 6 occurrences)
온 걸 (2 atoms, 6 occurrences)
넌 여기 (2 atoms, 6 occurrences)
어디 있나 (2 atoms, 6 occurrences)
온 거예요 (2 atoms, 6 occurrences)
왜 해 (2 atoms, 6 occurrences)
좋아, 이제 (3 atoms, 6 occurrences)
왜 이러니 (2 atoms, 6 occurrences)
이 사람은 (2 atoms, 6 occurrences)
기분이 어때 (2 atoms, 6 occurrences)
내가 여기 (2 atoms, 6 occurrences)
