# Supertokens for English (204609 total, sorted by frequency)

for one (2 atoms, 40 occurrences)
far from (2 atoms, 39 occurrences)
get down (2 atoms, 39 occurrences)
knew you (2 atoms, 39 occurrences)
like your (2 atoms, 39 occurrences)
good-bye (3 atoms, 39 occurrences)
good job (2 atoms, 39 occurrences)
believe me (2 atoms, 39 occurrences)
turned out (2 atoms, 39 occurrences)
rely on (2 atoms, 39 occurrences)
have nothing (2 atoms, 39 occurrences)
come down (2 atoms, 39 occurrences)
must have (2 atoms, 39 occurrences)
good news (2 atoms, 39 occurrences)
need to talk (3 atoms, 39 occurrences)
out on (2 atoms, 39 occurrences)
be like (2 atoms, 38 occurrences)
keep going (2 atoms, 38 occurrences)
seen a (2 atoms, 38 occurrences)
any time (2 atoms, 38 occurrences)
in the distance (3 atoms, 38 occurrences)
close the door (3 atoms, 38 occurrences)
country is (2 atoms, 38 occurrences)
but then (2 atoms, 37 occurrences)
need to (2 atoms, 37 occurrences)
do with (2 atoms, 37 occurrences)
two years ago (3 atoms, 37 occurrences)
three years ago (3 atoms, 37 occurrences)
long ago (2 atoms, 37 occurrences)
get into (2 atoms, 37 occurrences)
you taking (2 atoms, 37 occurrences)
sleep with (2 atoms, 37 occurrences)
more and more (3 atoms, 37 occurrences)
there in (2 atoms, 37 occurrences)
set up (2 atoms, 37 occurrences)
but this (2 atoms, 36 occurrences)
happy birthday (2 atoms, 36 occurrences)
am not (2 atoms, 36 occurrences)
a piece of (3 atoms, 36 occurrences)
red wine (2 atoms, 36 occurrences)
phone number (2 atoms, 36 occurrences)
forget about (2 atoms, 36 occurrences)
me what (2 atoms, 36 occurrences)
in time (2 atoms, 36 occurrences)
foreign language (2 atoms, 36 occurrences)
too many (2 atoms, 35 occurrences)
had it (2 atoms, 35 occurrences)
left hand (2 atoms, 35 occurrences)
advised him (2 atoms, 35 occurrences)
in line (2 atoms, 35 occurrences)
take it easy (3 atoms, 35 occurrences)
from now on (3 atoms, 35 occurrences)
hardly ever (2 atoms, 35 occurrences)
call it (2 atoms, 35 occurrences)
not yet (2 atoms, 35 occurrences)
stay away (2 atoms, 35 occurrences)
city is (2 atoms, 35 occurrences)
turn around (2 atoms, 34 occurrences)
you like me to (4 atoms, 34 occurrences)
little boy (2 atoms, 34 occurrences)
work together (2 atoms, 34 occurrences)
go in (2 atoms, 34 occurrences)
for nothing (2 atoms, 34 occurrences)
my ass (2 atoms, 34 occurrences)
friend of mine (3 atoms, 34 occurrences)
twice a (2 atoms, 34 occurrences)
anything you (2 atoms, 34 occurrences)
at the door (3 atoms, 34 occurrences)
on purpose (2 atoms, 34 occurrences)
to the cinema (3 atoms, 34 occurrences)
day off (2 atoms, 34 occurrences)
have to go to (4 atoms, 34 occurrences)
do not want (3 atoms, 34 occurrences)
go for (2 atoms, 34 occurrences)
three times a (3 atoms, 34 occurrences)
if you like (3 atoms, 34 occurrences)
me something (2 atoms, 34 occurrences)
once again (2 atoms, 34 occurrences)
you give me a (4 atoms, 34 occurrences)
on the couch (3 atoms, 33 occurrences)
have to make (3 atoms, 33 occurrences)
on fire (2 atoms, 33 occurrences)
for free (2 atoms, 33 occurrences)
show up (2 atoms, 33 occurrences)
once in a while (4 atoms, 33 occurrences)
have fun (2 atoms, 33 occurrences)
you happy (2 atoms, 33 occurrences)
think I can (3 atoms, 33 occurrences)
to the left (3 atoms, 33 occurrences)
go to sleep (3 atoms, 33 occurrences)
to tell the truth (4 atoms, 33 occurrences)
go to work (3 atoms, 33 occurrences)
on TV (2 atoms, 33 occurrences)
who cares (2 atoms, 33 occurrences)
cup of tea (3 atoms, 32 occurrences)
get home (2 atoms, 32 occurrences)
how far (2 atoms, 32 occurrences)
I miss you (3 atoms, 32 occurrences)
long have you been (4 atoms, 32 occurrences)
be proud of (3 atoms, 32 occurrences)
kinds of (2 atoms, 32 occurrences)
get off (2 atoms, 32 occurrences)
were looking (2 atoms, 32 occurrences)
a story (2 atoms, 32 occurrences)
old woman (2 atoms, 32 occurrences)
in public (2 atoms, 32 occurrences)
have no idea (3 atoms, 32 occurrences)
under the table (3 atoms, 32 occurrences)
hobby is (2 atoms, 32 occurrences)
fuck off (2 atoms, 32 occurrences)
nice to meet you (4 atoms, 32 occurrences)
by now (2 atoms, 32 occurrences)
say goodbye (2 atoms, 32 occurrences)
to know the (3 atoms, 32 occurrences)
at that time (3 atoms, 32 occurrences)
see how (2 atoms, 32 occurrences)
going on (2 atoms, 32 occurrences)
if not (2 atoms, 32 occurrences)
all kinds of (3 atoms, 31 occurrences)
put in (2 atoms, 31 occurrences)
a couple (2 atoms, 31 occurrences)
keep an eye on (4 atoms, 31 occurrences)
you explain (2 atoms, 31 occurrences)
to you about (3 atoms, 31 occurrences)
for sure (2 atoms, 31 occurrences)
move it (2 atoms, 31 occurrences)
washing machine (2 atoms, 31 occurrences)
thank God (2 atoms, 31 occurrences)
just now (2 atoms, 31 occurrences)
it happens (2 atoms, 31 occurrences)
lose weight (2 atoms, 31 occurrences)
was raining (2 atoms, 31 occurrences)
cut it (2 atoms, 31 occurrences)
