ABC순	ABC	순
감푸르잡잡하다	감푸르잡잡	하다
감히	감	히
갑각류	갑각	류
갑상샘	갑상	샘
갑상샘저하증	갑상샘	저하	증
갑오개혁	갑오	개혁
갑오경장	갑오	경장
갑오징어	갑	오징어
갑옷	갑	옷
갑작달리기	갑작	달리기
갑작변이	갑자기	변이
갑작부자	갑자기	부자
갑작스럽다	갑작	스럽다
갑작스레	갑작	스레
갑질	갑	질
값어치	값	어치
갓겜	갓	겜
갓길	가	ㅅ	길
갓난아기	갓	난	아기
갓난아이	갓	나다 > 난	아이
갓난애	갓	난	애
강거두고래	강	거두고래
강건느기경기	강	건느기 < 건너다	경기
강경하다	강경	하다
강꼬치고기	강	꼬치고기
강남좌파	^강남	좌파
강냉이	강남	앙이
강대국	강대	국
강동거리다	강동	거리다
강동대다	강동	대다
강똥	강	똥
강력하다	강력	하다
강력히	강력	히
강렬하다	강렬	하다
강마르다	강	마르다
강변하다	강변	하다
강설량	강설	량
강설일	한자 降雪.	한자 日.
강수 확률	강수	확률
강수강도	降水	强度
강수그늘	강수	그늘
강수량	강수	량
강수시간	강수	시간
강수에코	강수	에코
강수일	강수	일
강수일수	강수	일	수
강수현상	강수	현상
강아지	가히	ᄋᆡ	아지
강아지풀	강아지	풀
강어귀	강	어귀
강열감량	강열	감량
강요하다	강요	하다
강우대	강우	대
강우량	강우	량
강우빈도	강우	빈도
강우역	강우	역.
강의하다	강의	하다
강인하다	강인	하다
강자대회	강자	대회
강장거리다	강장	거리다
강장대다	강장	대다
강조하다	강조	하다
강주걱양태	강	주걱	양태
강준치	강	준치
강중거리다	강중	거리다
강중대다	강중	대다
강추위	강	추위
강취하다	강취	하다
강탈하다	강탈	하다
강퍅하다	강퍅	하다.
강퍅히	강퍅	히.
강풍경보	강풍	경보
강풍주의보	강풍	주의보
강하다	강	하다
강하하다	강하	하다
강행군경기	강행군	경기
강호령	강	호령
강화도 조약	강화도	조약
갖가지	갖	가지
갖신	갖	신
갖은자	갖은	자
갖춘마디	갖추	마디
갖춤새	갖춤	새
갗에서 좀 난다	갗	에서	좀	난다
같은	같다	은
같음	같다	음
같이	같	이
같이하다	같이	하다
같잖다	같	지	않다
개가하다	개가	하다
개각하다	개각	하다
개같다	개	같다
개고기	개	고기
개곰	개	곰
개괄하다	개괄	하다
개구리	개굴	이
개구리꺽정이	개구리	꺽정이
개구리매	개구리	매
개구리밥	개구리	밥
개굴개굴	개굴	개굴
개껌	개	껌
개꿈	개	꿈
개꿩	개	꿩
개나리	개	나리
개나리꽃	개나리	꽃
개나리색	개나리	색
개나발	개	나팔
개냥이	개	냥이
개년	개	년
개념글	개념	글
개놈	개	놈
개돼지	개	돼지
개떡	개	떡
개똥	개	똥
개똥벌레	개똥	벌레
개름하다	개름	하다
개망신	개	망신
개망초	개	망초
개명하다	개명	하다
개물통이	개	물통이
개미먹기	개미	먹다 > 먹	기
개미잡이	개미	잡이
개미핥기	개미	핥기
개밀	개	밀
개박하	개	박하
개발 교수	개발	교수
개발새발	개발	새발
개발하다	개발	하다
개밥바라기	개	밥	바라기
개방되다	개방	되다
개방적	개방	적
개방하다	개방	하다
개보리	개	보리
개복치	개	복치
개불알풀	개	불알	풀
개살구	개	살구
개살구나무	개살구	나무
개새끼	개	새끼
개소리	개	소리
개수대	개수	대
개수작	개	수작
개신거리다	개신	거리다
개신대다	개신	대다
개암나무	개암	나무
개암버섯	개암	버섯
개양귀비	개	양귀비
개여뀌	개	여뀌
개오동	개	오동
개울물	개울	물
개웃거리다	개웃	거리다
개웃대다	개웃	대다
개웃이	개웃	이
개웃하다	개웃	하다
개인기	한자 個人技. < 개인	기
개인용	개인	용
개인용 컴퓨터	개인용	컴퓨터
개인적	한자 個人的. < 개인	적
개인주의	개인	주의
개인택시	개인	택시
개입하다	개입	하다
개자식	개	자식
개장	개	장
개장국	개	장	국
개정하다	개정	하다
개죽음	개	죽음
개지랄	개	지랄
개지랄하다	개지랄	하다
개집	개	집
개척하다	개척	하다
개천절	개천	절
개초장이	한자 蓋草.	장이
개최되다	개최	되다.
개최하다	개최	하다.
개코망신	개코	망신
개털	개	털
개판	개	판
개펄	개	펄
개페하다	개페	하다
개편하다	개편	하다
개혁주의	개혁	주의
개혁하다	개혁	하다
개회나무	개	회나무
객공잡이	객공	잡이
객관분석	객관	분석
객관예보	객관	예보
객관적	한자 客觀的. < 객관	적
객체 높임법	객체	높임법
갤러빠지다	갤러	빠지다
갬	개다>개	ㅁ
갯가재	개	ㅅ	가재
갯강활	개	ㅅ	강활
갯과	개	ㅅ	과
갯민숭달팽이	갯민숭	달팽이
갯벌	개	ㅅ	벌
갯솜	개	ㅅ	솜
갯잔디	개	ㅅ	잔디
갯장어	개	ㅅ	장어
갯첨서	개	ㅅ	첨서
갱단	갱	단
갱생하다	갱생	하다
갱엿	갱	엿
갸륵하다	갸륵	하다
갸릉갸릉	갸릉	갸릉
갸우뚱거리다	갸우뚱	거리다
갸우뚱대다	갸우뚱	대다
갸울어뜨리다	갸울어	뜨리다
갸울어트리다	갸울어	트리다
갸웃거리다	갸웃	거리다
갸웃대다	갸웃	대다
갸웃이	갸웃	이
갹출하다	갹출	하다
걀걀거리다	걀걀	거리다
걀걀대다	걀걀	대다
걀쯤하다	걀쯤	하다
거꾸러뜨리다	거꾸러	뜨리다
거꾸러트리다	거꾸러	트리다
거꾸로뒤집기	거꾸로	뒤집기
거꾸로서기	거꾸로	서기 < 서다
거꾸로서서돌기	거꾸로	서서 < 서다	돌기
거꿀분수	거꾸로 > 거꿀	분수
거꿀함수	거꾸로 > 거꿀	함수
거년스럽다	거년	스럽다
거대하다	거대	하다
거덜거덜하다	거덜거덜	하다
거동하다	거동	하다
거두고래	거두	고래
거두어들이다	거두어	들이다
거두절미하다	거두절미	하다.
거둥둥하다	거둥둥	하다
거둥하다	거둥	하다
거둬들이다	거둬	들이다
